speed,test 1: position before turning (in degrees),test 1: position after turning (in degrees),test 1: deviation (in degrees),test 2: position before turning (in degrees),test 2: position after turning (in degrees),test 2: deviation (in degrees),test 3: position before turning (in degrees),test 3: position after turning (in degrees),test 3: deviation (in degrees),average deviation (in degrees)
1,391,390,1,392,390,2,391,390,1,1.3333333333333333
5,391,392,-1,391,391,0,390,389,1,0.0
10,390,391,-1,391,391,0,390,390,0,-0.3333333333333333
15,390,388,2,388,389,-1,389,382,7,2.6666666666666665
20,383,370,13,370,368,2,369,368,1,5.333333333333333
25,369,366,3,367,363,4,364,357,7,4.666666666666667
30,361,356,5,358,355,3,357,354,3,3.6666666666666665
35,356,353,3,356,353,3,356,353,3,3.0
40,357,354,3,357,353,4,356,353,3,3.3333333333333335
45,356,354,2,357,356,1,358,356,2,1.6666666666666667
50,357,354,3,357,355,2,357,353,4,3.0
55,356,355,1,357,355,2,356,355,1,1.3333333333333333
60,357,354,3,357,356,1,357,353,4,2.6666666666666665
65,356,352,4,356,351,5,356,352,4,4.333333333333333
70,356,349,7,355,347,8,356,349,7,7.333333333333333
75,355,347,8,356,350,6,356,350,6,6.666666666666667
80,355,346,9,353,346,7,354,346,8,8.0
85,354,345,9,355,345,10,356,347,9,9.333333333333334
90,355,349,6,355,350,5,356,353,3,4.666666666666667
95,356,350,6,355,348,7,356,350,6,6.333333333333333
100,356,352,4,356,350,6,356,352,4,4.666666666666667
